customer_id,order_date,order_amount,status
cust_1310,2026-01-11T03:12:00Z,22.26,shipped
cust_0502,2026-01-21T07:36:00Z,78.37,pending
cust_1386,2026-03-09T10:00:00Z,447.17,pending
cust_1210,2026-02-08T09:42:00Z,25.57,pending
cust_0448,2026-01-22T04:15:00Z,257.62,pending
cust_1150,2026-01-19T02:22:00Z,360.85,cancelled
cust_0452,2026-02-10T21:18:00Z,298.74,pending
cust_1555,2026-03-15T08:20:00Z,88.23,cancelled
cust_0697,2026-01-26T07:01:00Z,86.18,shipped
cust_0210,2026-01-09T10:36:00Z,196.16,shipped
cust_1736,2026-02-01T07:22:00Z,305.83,pending
cust_1495,2026-02-11T19:37:00Z,272.75,cancelled
cust_0162,2026-02-20T05:57:00Z,153.66,shipped
cust_1183,2026-01-18T12:03:00Z,355.24,pending
cust_1355,2026-01-21T17:51:00Z,388.80,pending
cust_1752,2026-01-22T04:32:00Z,434.58,cancelled
cust_0570,2026-02-11T06:29:00Z,321.49,shipped
cust_0334,2026-02-03T16:40:00Z,184.08,shipped
cust_1438,2026-03-27T06:09:00Z,344.94,pending
cust_1248,2026-02-27T19:07:00Z,93.86,completed
cust_0335,2026-02-12T01:49:00Z,195.93,completed
cust_1403,2026-01-30T12:24:00Z,423.00,pending
cust_0470,2026-03-16T19:15:00Z,25.73,shipped
cust_0822,2026-01-25T08:53:00Z,42.43,shipped
cust_0436,2026-03-01T15:49:00Z,254.62,cancelled
cust_0293,2026-01-25T02:38:00Z,78.42,shipped
cust_1530,2026-02-23T05:02:00Z,219.93,cancelled
cust_0742,2026-01-20T23:06:00Z,498.69,completed
cust_1044,2026-02-14T22:06:00Z,54.55,pending
cust_1764,2026-01-10T23:31:00Z,84.89,completed
cust_1623,2026-03-03T22:32:00Z,216.86,pending
cust_0789,2026-02-04T17:39:00Z,301.99,cancelled
cust_1084,2026-01-23T21:13:00Z,485.83,pending
cust_1394,2026-03-07T14:26:00Z,66.13,shipped
cust_1575,2026-02-28T08:12:00Z,176.69,shipped
cust_0891,2026-01-15T09:30:00Z,232.32,shipped
cust_1991,2026-02-15T13:32:00Z,383.36,pending
cust_1783,2026-02-26T21:59:00Z,156.24,completed
cust_0314,2026-02-04T00:49:00Z,383.63,pending
cust_1227,2026-01-30T12:07:00Z,249.42,pending
cust_1903,2026-02-03T00:56:00Z,440.57,shipped
cust_0491,2026-01-06T06:32:00Z,128.03,pending
cust_0176,2026-03-08T14:52:00Z,248.14,pending
cust_1558,2026-02-18T11:42:00Z,385.26,completed
cust_1352,2026-02-13T06:16:00Z,473.96,completed
cust_0543,2026-02-18T00:43:00Z,437.49,cancelled
cust_1976,2026-01-20T06:40:00Z,465.17,completed
cust_1461,2026-01-29T08:57:00Z,205.51,shipped
cust_0898,2026-03-23T21:14:00Z,263.61,pending
cust_0508,2026-01-21T10:51:00Z,41.37,pending
cust_1205,2026-02-20T10:03:00Z,122.76,completed
cust_0015,2026-01-07T11:05:00Z,356.84,pending
cust_0469,2026-01-07T03:14:00Z,453.66,shipped
